Nome,ate1930,ate1940,ate1950,ate1960,ate1970,ate1980,ate1990,ate2000,ate2010
SELIO,,46,107,262,556,691,573,197,92
ETIELE,,,,,,,132,171,92
ARETHA,,,,,,36,341,168,92
TAMAR,,45,95,161,205,219,186,161,92
EDIGLEISON,,,,,,,111,161,92
ABINAEL,,,,37,60,86,138,159,92
DEIDSON,,,,,,29,143,157,92
SELENE,,65,145,241,513,458,301,153,92
DARLEANE,,,,,,,51,148,92
WALISTON,,,,,,25,90,139,92
ANAIRA,,,25,,29,40,90,138,92
RENIVAN,,,,,29,131,163,125,92
PHAMELA,,,,,,,41,125,92
JAQUIEL,,,,,,22,115,123,92
VADSON,,,,,43,78,134,122,92
INGRD,,,,,,,32,121,92
HUBERTO,26,68,109,172,266,262,194,117,92
JACINARA,,,,,,43,84,114,92
MISRAEL,,,,,,26,73,112,92
JAFE,,,32,45,65,88,136,105,92
SANDRINI,,,,,,28,53,103,92
VANIELSON,,,,,,,34,97,92
COSTA,,,45,52,101,117,105,96,92
ILARIA,59,107,154,181,138,100,90,95,92
ANAILE,,,,,,,46,90,92
YANG,,,32,49,70,79,89,86,92
TAIRLA,,,,,,,,78,92
JENIFHER,,,,,,,,75,92
THALYSSA,,,,,,,,75,92
THAUANNE,,,,,,,,62,92
ERISLAN,,,,,,,27,60,92
GUILHETME,,,,,,,25,54,92
RICHART,,,,,,,20,54,92
GHABRIEL,,,,,,,,51,92
ALISA,,24,23,26,,,,50,92
HIURE,,,,,,,,50,92
KEUVI,,,,,,,,50,92
LEANDSON,,,,,,,20,47,92
TALISO,,,,,,,,47,92
ISAELLA,,,,,,,,43,92
MIZAELE,,,,,,,,42,92
ADRYELI,,,,,,,,40,92
KAICE,,,,,,,,38,92
UAN,,,,,,,,38,92
TAILOM,,,,,,,,34,92
YZADORA,,,,,,,,29,92
MARIEVA,,,,,,20,,,92
ENILLY,,,,,,,,,92
IASMN,,,,,,,,,92
KAISLA,,,,,,,,,92
LUIGY,,,,,,,,,92
RHANIA,,,,,,,,,92
RIYAN,,,,,,,,,92
ROSENIR,,26,147,450,1476,2246,1341,420,91
NATHANE,,,,,,,43,398,91
THAYARA,,,,,,,73,356,91
ERINEIDE,,,20,116,545,1037,781,293,91
JANIA,,,32,206,902,1654,848,288,91
VALDA,193,596,1363,1917,2355,1873,819,283,91
DENIA,,,28,53,244,453,579,282,91
NILSA,346,1333,2655,3921,4666,2878,1003,272,91
JOSIVANIO,,,,,,175,392,271,91
JOSICLEI,,,,,,102,311,258,91
OTILIA,2358,3392,3459,2786,1815,860,420,247,91
LUCIANI,,,,,296,1210,765,234,91
DUARTE,52,112,192,267,284,208,204,230,91
NOELSON,,,,45,109,223,298,213,91
EDIVANI,,,,52,191,408,389,211,91
TAMIS,,,,,,25,133,188,91
LYGIA,311,452,186,187,119,90,266,187,91
MESSIA,,,35,46,77,115,145,187,91
ARTEMISIA,31,35,24,53,64,68,244,185,91
ILDEANE,,,,,,41,187,176,91
GESIELI,,,,,,,119,174,91
HEVERSON,,,,,35,94,213,173,91
RONARA,,,,,,60,144,169,91
TALLYTA,,,,,,,40,163,91
FABILENE,,,,,,54,274,162,91
EDNAEL,,,,,46,91,129,160,91
LUZIEL,,,,26,52,117,151,159,91
GEIBSON,,,,,,23,106,155,91
REGISLANE,,,,,,50,138,154,91
CELENE,,79,207,313,619,604,447,151,91
BRUN,,,,,,,92,150,91
HERLAN,,,,,,71,143,147,91
ARUAN,,,,,,,68,145,91
WALIF,,,,,,,,140,91
IRLEI,,,56,102,211,274,230,137,91
VANILSO,,,,,30,118,165,137,91
IZAQUEU,,,,36,82,133,161,134,91
JOSINARA,,,,,,33,98,134,91
ELTER,,,,21,48,106,116,132,91
DICKSON,,,,32,33,66,132,128,91
AURILANE,,,,,,43,123,128,91
JEANDRA,,,,,,33,90,120,91
UALASSE,,,,,,20,69,120,91
KERLEY,,,,,,243,204,118,91
HALLYSON,,,,,,,72,118,91
DEISIELI,,,,,,,,117,91
ISLANY,,,,,,,25,113,91
MIKELINE,,,,,,,51,112,91
LAISI,,,,27,26,,56,109,91
GEANDESON,,,,,,,30,104,91
GEDEILSON,,,,,,43,119,103,91
IHAGO,,,,,,,,97,91
CHAYANNE,,,,,,,29,94,91
GEIZIELE,,,,,,,26,94,91
ABIGAIU,27,57,70,92,83,55,63,92,91
DEIVI,,,,,,91,157,89,91
MARDOQUEU,,,,36,55,47,60,82,91
ALDRI,,,,,,76,85,81,91
CHAIANI,,,,,,,36,79,91
WANNE,,,,,,,21,79,91
RAYRON,,,,,,,,77,91
DIENNIFER,,,,,,,,75,91
LOHRAN,,,,,,,,75,91
YIAGO,,,,,,,,73,91
CHRIS,,,,,,80,121,72,91
JOANNY,,,,,,,34,69,91
JAELI,,,,,,,22,68,91
GAZIELE,,,,,,,51,67,91
EVERLY,,,,,27,28,57,66,91
TALANE,,,,,,,,65,91
TAIUAN,,,,,,,,63,91
KARLANE,,,,,,,50,59,91
TAILLA,,,,,,,20,55,91
LUISI,,,,,,,39,54,91
LORRANIA,,,,,,,,53,91
KACIELE,,,,,,,,52,91
LORHANA,,,,,,,,51,91
KALYTA,,,,,,,,45,91
RAPHAELLY,,,,,,,,41,91
STHEPHANNY,,,,,,,,40,91
THEYLON,,,,,,,,38,91
DAPHINI,,,,,,,,33,91
GLENDHA,,,,,,,,33,91
VIRTO,,,,,,,,31,91
NIKELY,,,,,,,,30,91
EMANELE,,,,,,,,29,91
NCOLE,,,,,,,,20,91
GIULLYA,,,,,,,,,91
KETHILLY,,,,,,,,,91
CLAUDINETE,,36,115,287,782,1638,1367,470,90
DANIANE,,,,,,119,728,379,90
WINNIE,,,,,,,81,359,90
ZENILTON,,24,70,243,671,1033,848,347,90
WELKER,,,,,,30,128,347,90
MAURICEIA,,40,226,629,1374,1936,1226,332,90
CLEIDILENE,,,,,34,233,524,310,90
GUIOMAR,2471,3732,4520,4074,3260,2077,991,290,90
JACIR,207,726,1419,2091,2814,2031,918,286,90
VALDINAR,,,125,291,784,1229,818,269,90
JACLINE,,,,,44,83,233,268,90
JULIERME,,,,,,164,536,247,90
ELZILENE,,,,21,148,343,488,247,90
ADELVAN,,,,30,80,165,287,245,90
JEFERSSOM,,,,,,30,116,230,90
ELAINA,,,,43,122,323,415,228,90
AIRTO,,36,127,211,425,273,180,222,90
ERLANDIO,,,,,30,145,293,216,90
NONATA,,46,74,153,223,248,295,197,90
DARLINE,,,,,,,137,197,90
JOHNE,,,,,,,183,196,90
WELVES,,,,,,,93,196,90
MARLIENE,,,,24,98,226,265,191,90
WANIA,,29,136,602,1150,619,541,189,90
MARCIELLE,,,,,,,110,178,90
DANGELO,,,,,,67,495,169,90
FRAN,,,,43,71,147,226,169,90
ADELI,84,183,359,508,479,316,343,156,90
MAVIAEL,,23,51,98,165,234,248,153,90
WILHAMES,,,,,20,40,103,153,90
SONIELE,,,,,,,80,150,90
CRISTOVAM,22,50,127,204,251,220,202,149,90
WALA,,,,,,,48,139,90
KENNETH,,,,,22,35,67,134,90
FABINHO,,,,,,,123,133,90
WINI,,,,,,,,132,90
LUELEN,,,,,,,,127,90
CLISIA,,,,,,43,94,124,90
MAXUELL,,,,,,32,86,124,90
TAYLANA,,,,,,,27,121,90
ANDRELINE,,,,,,,55,119,90
RANDESON,,,,,,,52,119,90
VANDISON,,,,,,32,75,118,90
ANDEILSON,,,,,,,78,116,90
MARCS,,,,20,47,100,112,112,90
LUENI,,,,,21,,39,110,90
ELAINY,,,,,,63,137,109,90
WERVESON,,,,,,,33,106,90
VIVIELE,,,,,,,45,102,90
CARLEILSON,,,,,,,44,102,90
SASKIA,,,,,21,57,82,100,90
ARAUJO,,35,87,150,174,173,141,99,90
KARENN,,,,,,,48,97,90
ALE,,,,31,39,56,82,91,90
LISE,,24,28,55,101,78,151,87,90
WALLESKA,,,,,,23,50,87,90
MOISSES,,,,26,51,59,75,83,90
JAVE,,,,,,25,37,83,90
LAYZ,,,,,,,26,81,90
IZAELA,,,,,,,,77,90
AIZA,,,21,27,25,30,32,69,90
TAENE,,,,,,,24,69,90
TIALISSON,,,,,,,,69,90
CARINY,,,,,,,23,67,90
TAFILA,,,,,,,,61,90
SABRNA,,,,,,,43,59,90
KETTLEN,,,,,,,,56,90
HIORRANA,,,,,,,,48,90
GARIELLE,,,,,,,,45,90
RAINANDA,,,,,,,,39,90
KETTELY,,,,,,,,35,90
KEVER,,,,,,,,34,90
EDUARA,,,,,,,,31,90
HEVELIM,,,,,,,,28,90
CALEO,,,,,,,,24,90
BRAYA,,,,,,,,23,90
AMILY,,,,,,,,,90
CAYANE,,,,,,,,,90
ETHAN,,,,,,,,,90
EZO,,,,,,,,,90
FANTINI,,,,,,,,,90
KALEBRE,,,,,,,,,90
QUEMELI,,,,,,,,,90
RADIGIA,,,,,,,,,90
GERUZA,50,176,551,791,1123,1521,1247,471,89
DULCINEIA,316,842,1697,3632,5061,4809,2206,464,89
THAIZE,,,,,,32,217,319,89
ACASIO,32,58,109,148,179,136,325,278,89
MAURIVAN,,,,20,76,180,286,266,89
VALDI,22,125,393,669,992,924,607,239,89
BILLY,,,,,22,51,186,216,89
BIBIANE,,,,,23,180,385,212,89
WENES,,,,,,85,214,212,89
DHONES,,,,,,,122,207,89
ERMES,69,210,435,582,595,551,384,206,89
DORGIVAL,45,155,336,838,1395,1130,480,205,89
LINDAMARA,,,,20,128,182,188,204,89
CLEMENTE,720,1662,2337,2323,1768,953,510,199,89
VALDEMILSON,,,,36,155,342,283,197,89
GALILEU,26,57,94,124,105,132,157,194,89
LAURICE,23,82,182,272,328,253,173,193,89
MAISSON,,,,,,,69,190,89
INDAIARA,,,,,,52,87,187,89
MICON,,,,,,,114,178,89
MARCOSUEL,,,,,,41,115,174,89
ELIESON,,,,,29,85,178,165,89
CISSA,,65,87,147,154,173,211,164,89
JULINE,,,,,,20,138,163,89
JOANAS,,39,57,101,104,102,125,156,89
GRECIANE,,,,,,28,138,153,89
MIRLAINE,,,,,,50,124,153,89
ELIADE,,,,21,84,140,228,150,89
MERIELI,,,,,,46,188,150,89
WELINGTHON,,,,,40,73,145,142,89
JULIARDE,,,,,,,234,134,89
HUELITON,,,,,,44,85,134,89
DINO,78,234,299,346,436,794,438,129,89
ROCK,48,126,259,363,435,364,254,125,89
ANDRESS,,,,,,,79,124,89
LEONANDO,,,,,,,41,119,89
CRISTOVAN,,62,87,140,212,180,167,115,89
KRISLEY,,,,,,30,63,113,89
RAVENNA,,,,,,,48,113,89
SANDERLEI,,,,,34,138,149,105,89
KEISA,,,,,,22,52,102,89
MYLENNA,,,,,,,,102,89
MAIRIS,,,,,,,,100,89
WYLLIAN,,,,,,,62,92,89
HELIEL,,,,,22,52,90,90,89
DIMI,,,,,,26,90,89,89
THOBIAS,,,,,,,64,87,89
NAEDSON,,,,,,22,40,85,89
JAAZIEL,,,,,,21,53,84,89
DALBERT,,,,,,,67,80,89
NADSOM,,,,,,,31,68,89
QUELVE,,,,,,,,64,89
JULIUS,,,,31,48,92,81,61,89
LINDICE,,,,,,,45,59,89
THARLISON,,,,,,,,59,89
LUDINILA,,,,,,,27,53,89
RAMILLE,,,,,,,27,48,89
GABEIEL,,,,,,,,45,89
WENDREW,,,,,,,,40,89
BEATRYS,,,,,,,,39,89
MICAELEM,,,,,,,,39,89
GENEFE,,,,,,,,38,89
GABRILLI,,,,,,,,37,89
RAIA,,,,,,,,34,89
ADRA,,,,,,,39,33,89
LAREN,,,,,,,,33,89
NICKOLLAS,,,,,,,,28,89
AGHATTA,,,,,,,,27,89
KALLEO,,,,,,,,27,89
ESTEFNE,,,,,,,,26,89
AGUITA,,,,,,,,22,89
MARIALUIZA,,,,36,20,,,,89
ASHILLEY,,,,,,,,,89
ATISON,,,,,,,,,89
CALAN,,,,,,,,,89
DHOMINI,,,,,,,,,89
MYGUEL,,,,,,,,,89
TAFINI,,,,,,,,,89
MARLISE,,51,261,947,2218,1930,1109,431,88
ALDINEIA,,,83,225,524,933,1032,397,88
CLENILDA,,28,101,259,622,1510,1159,384,88
INAJARA,,,,83,203,428,723,381,88
DANLEI,,,,,,,,376,88
FRANCICLEIDE,,,,,252,641,791,367,88
JAILDA,,27,168,350,906,1351,904,362,88
WEIDER,,,,,32,128,234,330,88
NATACIA,,,,,,,214,317,88
ENEAS,168,346,565,737,920,1364,1114,293,88
EUDILENE,,,,,45,199,465,292,88
MAURICELIO,,,,24,130,308,441,290,88
DORILENE,,,,41,193,562,540,280,88
WALKIRIA,54,194,333,601,676,851,604,276,88
EIDE,,54,123,191,180,185,748,271,88
ALTEMAR,,,59,80,912,1171,579,254,88
ALDECIR,,60,219,524,1047,1138,657,252,88
ALIENE,,,,60,134,205,339,251,88
DAYSIANE,,,,,,,140,246,88
DARLY,,58,127,172,235,167,191,235,88
KATY,,,,,74,242,345,231,88
WILKA,,,,,42,121,245,223,88
ADERALDO,42,160,336,648,903,859,546,222,88
JESSIANA,,,,,,37,98,222,88
CIRILO,278,556,702,762,643,492,385,215,88
REVERSON,,,,,,92,157,208,88
NERIVAN,,,,22,110,280,331,187,88
ARNOLDO,258,572,737,775,754,503,298,187,88
CHARLIENE,,,,,,32,163,180,88
KESIO,,,,,,44,109,178,88
ELDERSON,,,,,,62,136,175,88
ERMINIO,354,726,993,1027,877,492,325,172,88
CLEONILSON,,,,21,60,176,259,172,88
NEVERTON,,,,,32,104,145,166,88
FILIPPE,,,,,,,148,164,88
TAYZA,,,,,,,43,159,88
OHANNA,,,,,,,22,156,88
JHENE,,,,,,,26,147,88
GEANY,,,,,28,108,138,141,88
FRANSCICO,63,149,261,458,492,354,264,140,88
ERMESOM,,,,,,71,87,139,88
JANY,,35,45,80,117,189,177,136,88
RONALDINHO,,,,,,,,134,88
RENO,,36,87,100,118,103,125,133,88
ANDENSON,,,,,,,98,133,88
ESRON,,,,,24,40,89,129,88
VANCLEI,,,,,20,96,184,126,88
CRISTI,,,,,,41,59,116,88
DHEMESON,,,,,,,,105,88
WILKEN,,,,,,31,87,103,88
KALIENE,,,,,,,73,102,88
LAIUSON,,,,,,26,49,94,88
VANDRIELE,,,,,,,,93,88
DARWIN,,22,32,47,44,62,83,92,88
JEISIEL,,,,,,,46,90,88
BRANDA,,,,,,,,79,88
ADLEY,,,,,,24,33,78,88
WISLLEY,,,,,,,42,77,88
CRISLAINY,,,,,,,24,77,88
KARIELI,,,,,,,,76,88
JHOSEF,,,,,,,30,75,88
KETRYN,,,,,,,21,74,88
YVIS,,,,,,,33,73,88
EVERLYN,,,,,,,24,73,88
GIZELY,,,,,,22,98,72,88
JOZUE,,,24,46,54,77,67,71,88
EDUAEDO,,,,,,43,58,65,88
WENDLER,,,,,,,,64,88
PABLLO,,,,,,,32,63,88
DEVD,,,,,,,31,61,88
RICKISON,,,,,,,,58,88
GYAN,,,,,,,,56,88
CAE,,,,,,,37,55,88
RAIS,,,,,,,,55,88
WITNEY,,,,,,,20,50,88
KAELLY,,,,,,,21,47,88
ISRAELY,,,,,,,,46,88
KAYENE,,,,,,,,46,88
GEYSLA,,,,,,,,43,88
KETREN,,,,,,,,42,88
MICKEIAS,,,,,,,20,39,88
DENIFE,,,,,,,,38,88
KADMIEL,,,,,,,,34,88
LAURE,,,,,,,21,31,88
ESABELE,,,,,,,,30,88
ILARI,,,,,,,,29,88
JHENIFFE,,,,,,,,27,88
VICTON,,,,,,,,27,88
ANICA,,,,,,,,22,88
ANALYCE,,,,,,,,,88
CAILHANE,,,,,,,,,88
CAILO,,,,,,,,,88
KAU,,,,,,,,,88
KAYLLAINE,,,,,,,,,88
NYCOLY,,,,,,,,,88
JORDI,,,,,,,24,581,87
LEIDIJANE,,,,,67,161,573,429,87
ROMERITO,,,,52,35,57,1413,402,87
EDIMARIO,,,30,107,242,366,408,295,87
VALDENISE,,,52,135,345,586,488,282,87
GILLIARD,,,,,,27,786,281,87
VALQUIRA,,,29,67,162,287,454,258,87
JECILENE,,,,,60,214,209,246,87
DABILA,,,,,,,,230,87
IOMAR,42,75,129,207,300,456,362,222,87
ROSENILSON,,,,,72,251,319,216,87
TANDARA,,,,,,,82,214,87
ANDRSON,,,,,,91,231,206,87
GLAYCE,,,,,,85,224,202,87
SEBARTIAO,77,179,360,521,582,434,354,200,87
BETE,22,48,149,391,644,634,512,190,87
CARLINDO,121,357,654,900,1049,908,489,179,87
EDICLECIO,,,,,,23,170,178,87
CLAUDEILSON,,,,,,61,180,177,87
ARTEMIZA,,,27,43,34,54,258,171,87
MERCEDES,2343,4760,6056,5543,2188,729,383,168,87
RONA,,,,24,32,100,135,165,87
NICACIO,27,77,105,130,184,201,259,163,87
ADALIA,171,264,354,408,304,217,173,160,87
DAIRES,,,,20,30,28,51,158,87
CLELTON,,,,,30,115,259,155,87
KLEYSON,,,,,,31,85,153,87
CRICIANE,,,,,,26,118,148,87
ANAIZA,35,43,66,55,69,67,127,142,87
ERINELSON,,,,,,40,71,139,87
ELAISE,,,,20,40,49,95,135,87
LIZETE,166,602,1031,2002,2106,1328,589,133,87
TAISLENE,,,,,,,29,133,87
JEMES,,,,,,39,84,127,87
ELNATAN,,,,,,29,52,126,87
NATALLIA,,,,,,,52,125,87
YASKARA,,,,,35,39,66,119,87
TAYANARA,,,,,,,20,116,87
JADILENE,,,,,23,52,85,111,87
JOISY,,,,,,,65,108,87
SONALY,,,,,35,55,106,105,87
TAYAN,,,,,,,,105,87
HELTER,,,,,28,31,51,104,87
HERBERTH,,,,,32,67,107,93,87
AIDE,354,875,1320,1486,1205,651,290,91,87
GRAZI,,,,,,,82,90,87
ESTIVEN,,,,,,,34,81,87
MARTHEUS,,,,,,,,73,87
NATIELEN,,,,,,,,73,87
ITIEL,,,,,,21,33,71,87
NIKE,,,,,,,22,68,87
NAUN,,,,,,21,22,57,87
KERVIN,,,,,,,,56,87
UERIC,,,,,,,29,53,87
DEVDE,,,,,,,26,53,87
CAYNA,,,,,,,,52,87
ENDIO,,,,,,,,52,87
BREATRIZ,,,,,,,,49,87
LORHANE,,,,,,,,46,87
IZAKE,,,,,,,,41,87
ANNYE,,,,,,,31,40,87
CAROLLINY,,,,,,,,40,87
IALISSON,,,,,,,,39,87
RONAD,,,,,,,27,38,87
ERIA,,,37,36,30,20,42,33,87
GRAZYELLE,,,,,,,,29,87
HENTONY,,,,,,,,29,87
THYERRY,,,,,,,,28,87
KAILE,,,,,,,,27,87
JENEFI,,,,,,,,25,87
BELLA,31,42,,,,,,24,87
AMELIE,,,,,,,,,87
DHENYFER,,,,,,,,,87
GUIOVANA,,,,,,,,,87
HADASA,,,,,,,,,87
KAUELI,,,,,,,,,87
KEMYLLI,,,,,,,,,87
LAVINNIA,,,,,,,,,87
RAICONE,,,,,,,,,87
RAQUELLI,,,,,,,,,87
RHYANNA,,,,,,,,,87
WADRIA,,,,,,,,,87
DELEON,,,,,,,1092,423,86
SILVANIR,,,70,210,564,1053,883,368,86
JOCELMA,,,,41,163,646,808,343,86
SOLIMAR,,55,146,473,1157,1259,828,342,86
MARILUCE,,,263,791,1724,1839,1121,316,86
TIBERIO,24,50,79,125,196,335,479,286,86
IVONILDO,,23,62,201,452,739,631,284,86
DALMIR,,79,232,490,947,947,606,273,86
ERINALDA,,,24,81,281,750,782,271,86
ELIELZA,,,28,100,398,557,555,268,86
ADAITON,,,,63,189,393,349,259,86
NILSO,,103,286,628,1073,934,517,257,86
JOMAR,,76,167,390,735,841,502,253,86
EVELIZE,,,,37,133,239,425,253,86
ODILENE,,,,48,268,651,650,250,86
ILCA,194,480,690,815,732,500,527,235,86
AURI,67,270,650,1005,1262,807,442,225,86
DINALDO,,24,109,211,414,551,454,222,86
ESTEFERSON,,,,,,40,105,207,86
JAIDER,,25,71,135,168,212,243,205,86
HELINTON,,,,,36,112,240,204,86
JOISON,,,,31,104,225,302,199,86
RAELMA,,,,,,52,97,197,86
VANDELEI,,,52,148,417,739,454,191,86
CLETON,,,,35,47,101,246,183,86
VIRLENE,,,,64,205,308,317,182,86
LOIANA,,,,,,22,126,176,86
LO,,,,32,37,40,73,168,86
RENIER,,,,,41,48,155,166,86
LAURITA,496,1551,2618,2788,2097,1035,409,163,86
AGAMENON,,89,363,467,449,473,342,162,86
MARELO,,,,,67,217,267,158,86
ALYNNE,,,,,,,135,157,86
RONNIE,,,,,193,542,393,155,86
JAIMARA,,,,,,24,72,155,86
LUILA,,,,,,,59,143,86
GISLANI,,,,,,56,98,142,86
WELBERTE,,,,,,34,70,135,86
RFAEL,,,,,,,135,134,86
ANNANDA,,,,,,,32,129,86
WELDON,,,,29,38,92,146,127,86
POLIANNA,,,,,,25,200,123,86
EWERTOM,,,,,,,64,121,86
JONNATAN,,,,,,,46,121,86
TALIENE,,,,,,,36,121,86
ALANDER,,,,,,22,55,117,86
ALBER,,,,30,66,129,148,116,86
WEDESON,,,,,,23,70,115,86
RUBES,,28,69,141,205,187,160,113,86
FERANDA,,,,,,38,137,113,86
IRLAINE,,,,,29,66,104,112,86
DAILANA,,,,,,,36,110,86
ALAYNE,,,,,,,41,107,86
AHMAD,,41,46,47,70,65,59,103,86
DIANNA,,,,,,34,91,100,86
ISRAIANE,,,,,,,,94,86
RHAFAEL,,,,,,,58,91,86
MSRCOS,,,,,39,81,88,89,86
SANIELI,,,,,,,23,86,86
JONHATAS,,,,,,,39,85,86
DARLESON,,,,,,,,77,86
LARISS,,,,,,,,77,86
KALLITA,,,,,,,,73,86
GEANDSON,,,,,,,22,68,86
HAIRA,,,,,,,,68,86
AYNE,,,,,,,22,65,86
EDRIEL,,,,,,,34,63,86
WEVERTHON,,,,,,,,62,86
ESLEN,,,,,,,26,61,86
TAYSSON,,,,,,,,55,86
ALEXSIA,,,,,,,,54,86
BESTRIZ,,,,,,,,51,86
ABILA,,,,,,,27,50,86
KALIANY,,,,,,,30,48,86
LEANDESON,,,,,,,22,43,86
TAUANNE,,,,,,,,42,86
STPHANY,,,,,,,,39,86
YULA,,,,,,20,28,31,86
GUELERME,,,,,,,,29,86
GILVANNA,,,,,,,,28,86
WENDRIK,,,,,,,,23,86
AUANNY,,,,,,,,,86
HENRRI,,,,,,,,,86
NIKOLLE,,,,,,,,,86
RIKELVE,,,,,,,,,86
THAVINE,,,,,,,,,86
CLEA,217,705,1046,1384,1381,1523,1290,317,85
JOVELINA,1811,2681,3416,3205,2629,1533,757,312,85
ROSSANA,,,,379,1358,1171,1034,304,85
JAILSA,,,,32,162,371,384,280,85
AILMA,,,20,39,129,250,361,279,85
LEYDIANE,,,,,,,279,274,85
ARILTON,,39,139,291,457,498,340,263,85
VALDIMAR,,,31,124,430,835,660,241,85
EDEGAR,71,264,544,657,924,675,460,239,85
DIENI,,,,,,31,124,235,85
TASSIANO,,,,,,62,216,227,85
FRANCICLEIA,,,,,,113,331,219,85
CLEZIO,,22,70,125,290,380,468,210,85
TASIA,,,,,35,75,218,209,85
JASIANE,,,,,,52,165,193,85
ROBERLAN,,,,,26,99,234,192,85
ALLYNE,,,,,,,165,191,85
EDVAR,33,120,351,666,968,921,468,190,85
KAROLINNE,,,,,,,69,187,85
VALCINEI,,,,,97,213,280,178,85
JAINNE,,,,,,,,160,85
FAUSTINO,354,677,982,1068,912,488,312,150,85
CLESSIANE,,,,,,21,98,150,85
FABILA,,,,,,49,144,149,85
FRANCISCI,22,53,119,182,181,205,190,145,85
TAILISE,,,,,,,97,144,85
DEYSON,,,,,,,85,140,85
JEIMISON,,,,,,,68,137,85
ELEX,,,,,,84,150,136,85
ANALUCIA,,,42,152,394,416,321,130,85
GLEMERSON,,,,,,37,58,125,85
JOVAN,,,,36,81,139,169,120,85
FRANCY,,,25,41,89,167,217,117,85
IVANIELE,,,,,,,48,115,85
KENNER,,,,,,34,80,114,85
DANNA,,,,,,,36,102,85
DALITE,,,,,,,,101,85
SUANNY,,,,,,,55,97,85
RAIUSON,,,,,,,24,88,85
AZIEL,,,34,62,89,141,108,82,85
WERLI,,,,,,20,50,82,85
ORRANA,,,,,,,,76,85
PETSON,,,,,,,58,71,85
CAINARA,,,,,,,29,69,85
YANK,,,,,,,,68,85
CIBELLI,,,,,,24,105,64,85
AIAN,,,,,,,,54,85
VICTORI,,,,,,,,53,85
CRITOFER,,,,,,,,48,85
GABBRIEL,,,,,,,,43,85
HEVELEN,,,,,,,,41,85
MYKAELLY,,,,,,,,39,85
CAYNAN,,,,,,,,38,85
GAVRIEL,,,,,,,,30,85
ADYLLA,,,,,,,,29,85
SANIRA,,,,,20,32,51,27,85
TAFNE,,,,,,,,26,85
CAILINE,,,,,,,,24,85
KERRY,,,,,,,,20,85
NALMIR,,,,27,33,32,20,,85
VALETINA,,,,25,,,,,85
ADREN,,,,,,,,,85
HADIJA,,,,,,,,,85
KASSYANE,,,,,,,,,85
LIEDSOM,,,,,,,,,85
LUCAIAN,,,,,,,,,85
SURIEL,,,,,,,,,85
THAEMILY,,,,,,,,,85
YARLE,,,,,,,,,85
FIAMA,,,,,,,34,1924,84
DEIDIANE,,,,,,,387,480,84
NEUMA,,63,255,756,1863,2086,1345,417,84
JANECLEIDE,,,,,144,476,758,362,84
JEVERTON,,,,,,21,64,324,84
ELCIMAR,,,26,108,434,790,697,308,84
JUCIVANIA,,,,,33,203,430,293,84
ALDENIZE,,,35,74,217,332,452,276,84
MARLUCIO,,,45,164,445,783,718,268,84
JOSEMARIO,,,,64,248,431,478,254,84
COSMIRA,,20,61,118,333,568,493,232,84
LETIANE,,,,,,24,234,228,84
IVANILCE,,,22,83,218,382,345,225,84
JANIELMA,,,,,,34,170,214,84
MARLICE,,24,95,318,717,640,445,202,84
KATILENE,,,,,,135,390,202,84
JESSIE,20,,,,27,35,79,185,84
CRISTANO,,,,,,422,497,180,84
DELIO,79,238,403,731,767,601,482,180,84
ULYSSES,31,75,58,107,126,110,241,176,84
WERIKA,,,,,,,97,164,84
ELKE,,,20,42,155,592,350,163,84
SONALI,,,,,115,112,159,157,84
ONILDO,38,190,329,527,750,625,316,156,84
SADI,88,439,1153,2008,2278,1164,321,155,84
WAYNE,,,33,43,64,102,112,154,84
MAION,,,,,,,93,151,84
DOUCLAS,,,,,,21,83,149,84
GENES,,44,44,100,136,159,178,148,84
CHARLISE,,,,,,,136,142,84
ANDREIZA,,,,,,50,119,142,84
FRASCISCO,42,85,163,247,291,245,201,141,84
NIL,,,,30,54,93,133,136,84
TATIELEN,,,,,,,57,136,84
JEDIAEL,,,,21,29,67,100,135,84
UELITO,,,,,,36,97,135,84
RANDSON,,,,,,,83,134,84
DUANI,,,,,,,91,133,84
ALEANE,,,,,,41,168,132,84
INEZ,194,527,1277,1790,1545,756,376,131,84
IVANILSOM,,,,,25,107,140,130,84
GECIELE,,,,,,,47,120,84
WELLIS,,,,,20,24,76,118,84
BRIZA,,,,,,,75,117,84
LEONAEDO,,,,,,27,57,113,84
DIVANILSON,,,,,43,141,171,105,84
KELLISON,,,,,,,37,97,84
DUANY,,,,,,,40,96,84
WILEN,,,,,,,49,94,84
LARISSIA,,,,,,,32,91,84
WELISSOM,,,,,,,42,86,84
REILAN,,,,,,,,86,84
LARIENE,,,,,,,28,84,84
LINCOL,,,,,,33,55,80,84
AIAS,,,,36,61,57,63,79,84
RFAELA,,,,,,,,78,84
GEILANE,,,,,,,47,77,84
NIRVANA,,,,26,46,61,66,71,84
WENDO,,,,,,,,68,84
NATANIELY,,,,,,,,64,84
GUTIERRY,,,,,,,25,63,84
NAFTALY,,,,,,,21,63,84
MARJORYE,,,,,,,37,60,84
MAIELY,,,,,,,,60,84
MERIA,,33,61,109,124,130,65,58,84
CATRINI,,,,,,,,58,84
PABLINI,,,,,,,20,54,84
LYNCOLN,,,,,,,,54,84
GABRIANE,,,,,,,22,53,84
ANDRYO,,,,,,,,52,84
KEISSY,,,,,,,32,51,84
